data_index_,solar_prediction_mw,wind_prediction_mw,load_actuals_mw,dayofweek,total_gen
2020-08-04 00:00:00+00:00,5480.14868971684,2340.0363030578246,8909.532614829744,1,7820.184992774664
2020-08-05 00:00:00+00:00,5875.465178096758,4253.254009153575,9014.665216930094,2,10128.719187250332
2020-08-06 00:00:00+00:00,5695.042530568847,1225.2977207904526,9280.762518298505,3,6920.340251359299
2020-08-07 00:00:00+00:00,5834.568596178504,1645.277285970131,9359.462978678264,4,7479.845882148635
2020-08-08 00:00:00+00:00,5406.5265659692905,2637.7245661746324,8660.451579505676,5,8044.251132143923
2020-08-09 00:00:00+00:00,4528.555680645464,5104.783304165029,8411.17989604328,6,9633.338984810493
2020-08-10 00:00:00+00:00,4565.207023798355,3020.970564674548,9868.567300307626,0,7586.177588472903
2020-08-11 00:00:00+00:00,4841.311724051663,2689.871625448367,10147.093735016442,1,7531.18334950003
2020-08-12 00:00:00+00:00,4875.285332028195,2304.4883896545216,10201.627974965524,2,7179.773721682716
2020-08-13 00:00:00+00:00,3962.261938268131,819.1167616549908,10202.50320356423,3,4781.3786999231215
2020-08-14 00:00:00+00:00,3513.3014244949613,926.3721433345748,9812.299157738411,4,4439.673567829536
2020-08-15 00:00:00+00:00,3515.386058729712,343.69849838511345,8646.530045613663,5,3859.0845571148257
2020-08-16 00:00:00+00:00,3839.361103292992,1383.5604294118548,8524.399463243873,6,5222.921532704847
2020-08-17 00:00:00+00:00,4090.006098133034,2392.1310634780525,9685.54389731622,0,6482.137161611086
2020-08-18 00:00:00+00:00,4035.6623510648283,4911.2826485159885,9919.774827622785,1,8946.944999580817
2020-08-19 00:00:00+00:00,3152.109328579917,5079.4011398598905,9860.457180439163,2,8231.510468439807
2020-08-20 00:00:00+00:00,3510.9883666385217,4885.270346805178,10164.324994165694,3,8396.2587134437
2020-08-21 00:00:00+00:00,3985.0673921881357,11516.954395399742,9557.034609101518,4,15502.021787587877
2020-08-22 00:00:00+00:00,3756.9112174375337,13456.38658292047,8193.842316749762,5,17213.297800358003
2020-08-23 00:00:00+00:00,3294.0447724310284,10606.196648791514,8023.397254693964,6,13900.241421222543
2020-08-24 00:00:00+00:00,2927.3087687209454,5924.050584471577,9464.806354089318,0,8851.359353192522
2020-08-25 00:00:00+00:00,1197.567783094099,12313.20699120869,9402.530306566247,1,13510.774774302789
2020-08-26 00:00:00+00:00,1840.1859148763174,13616.873268397716,9497.89798026944,2,15457.059183274034
2020-08-27 00:00:00+00:00,3284.966538449511,2530.7765997071265,9735.423812453591,3,5815.7431381566375
2020-08-28 00:00:00+00:00,3308.256715764456,8237.244819862339,9448.921101092606,4,11545.501535626794
2020-08-29 00:00:00+00:00,2680.340557275542,7710.138706764155,8574.740526148298,5,10390.479264039697
2020-08-30 00:00:00+00:00,2350.5136504362513,9846.25338649483,8051.0284671687705,6,12196.76703693108
2020-08-31 00:00:00+00:00,3039.22741345342,2133.0065825058923,9599.906419857854,0,5172.233995959312
2020-09-01 00:00:00+00:00,3625.469087156394,961.8433189738439,9788.232805770658,1,4587.312406130238
2020-09-02 00:00:00+00:00,4002.8653407136385,423.3540113201716,9894.50172271136,2,4426.21935203381
2020-09-03 00:00:00+00:00,1122.327024070264,11045.410476953986,9810.400250344754,3,12167.73750102425
2020-09-04 00:00:00+00:00,1668.101291553304,4773.161920951977,9839.882870478414,4,6441.2632125052805
2020-09-05 00:00:00+00:00,3373.5458298151802,4358.812372020246,8559.898319719954,5,7732.358201835426
2020-09-06 00:00:00+00:00,3510.894549207243,1035.7932813043312,8294.42879388989,6,4546.687830511574
2020-09-07 00:00:00+00:00,4031.037933514714,3635.1116080052548,9512.98969555532,0,7666.149541519969
2020-09-08 00:00:00+00:00,1523.989898989899,5147.620421705367,9880.796155722923,1,6671.610320695267
